"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67"
"11" 3.94419985840438e-22 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1.07673032391697e-21 0 0 0 0 0 0 0 0 0 0.0253084807925632 0 0 0 0 0 0 0 0 0 0.00876138991979164 -0.00813122424259376 0 0 0 0 0 0.450092765084118 -0.0360914757116693 0 0 0 0.474595974575383 0 0 0.280243072480454 0 0 0 0 0 0 0 0 0.182607634580237 0.000281449370632274 0 -0.0786705331887594 0.523156396995832 0 1.60831589357026e-21 0
"12" 0 0 0 0 0 0 0 0 0.555675040555973 -3.86964867639536e-22 0 1 0 0.00625980791783139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0280825585540548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.379477527446436 0 0 0 0 0 0 0 0 0 0 0
"13" 0 5.45338529396022e-21 -0.00201855220901026 0 0 -0.0232729621273161 0 0 0 0 0 0 1 0.030193368927086 0 0 0 0.00161684192564023 -0.0116159000425587 0 -0.0784976142970546 6.08829847524205e-21 0.00314727305722542 0 -0.0831180240567796 0 0.0664332041232153 0 0 0.047873040721692 0.442268938427151 0.405069078403208 0.0600052081759912 -0.020054638216682 -0.0388908182995909 0 0.373036664971503 -0.0215857877743487 0.0324323352414458 -0.0197551721947235 0.0996835122816572 0 0 -0.0482238308634385 0 0 0.278252992363354 0 0.086982678049116 -0.0229430897137441 0 -0.0362308976520671 0 0.0686180985754565 0.0294385244196234 0.206201801700319 0 0 0 0 0 0 0 -0.00596684737333323 0 0 0
"14" 0 0 0.00606627004048696 0 0 0.0115956095388989 0 0 0.0247539946768656 -4.95243607498805e-21 0 0.00625980791783139 0.030193368927086 1 0 0 0 -0.0120725614165613 0 0 0 -5.80329418374217e-21 0 0 -0.0299748355796094 0 0 0 0 0 -0.00981057759399383 0.397269975371318 -0.00798644130896089 0 0 0 0 0.00916957054537248 -0.0198996894591272 -0.0377455827059623 -0.00577957599615404 0 0 0 0 0 0 0 0.0203720825650383 0.00695396911071503 0 0.00577288852305216 0 0.0283772884565429 -0.00407371379169635 -0.0341409924179602 0 0 0 0 0 0 0 -0.0165036096672685 0 0 0
"15" -2.15350719972847e-22 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -8.87330657326974e-22 0 0 0 0 0 2.96724657801108e-21 0 0 0 0 0 1.86416353496723e-21 0 0 0 0 -2.13741709220684e-21 0 0 0 0 0 0 0 0 0 -6.42778709162447e-22 0 0 0 9.25609715149847e-22 0 0 0 0 0 0 0 -6.7678696888737e-22 -1.56580437986907e-21 9.70245472498178e-22 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 1.07673032391697e-21 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3.87620064166209e-21 0 0 0 0 0 0 1.5007008886381e-21 0 0 0 0 4.49398510812241e-21 0 0 0 0 0 0 0 0 0 0 0 1.8879900992369e-21 -2.11274576218941e-21 0 -1.26209583802168e-21 0 0 -2.15350719984444e-22 0
"17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1.19983446667854e-21 0 0 0 0 -2.41667669854778e-21 0 0 0 0 0 0 0 0 0 0 6.58947780329613e-21 0 0 0 0 0 0 -1.03224701711716e-21 0 0 8.41068982035306e-23 0 0 0 0 0 -2.15350719984617e-22 0 0 0 0 0 0 0 0 0 0 0 2.79618109252852e-21 0 0
"18" 0 5.57010222954889e-21 0.00299335465001689 0 0 -0.000520862612785115 0 0 0 0 0 0 0.00161684192564023 -0.0120725614165613 0 0 0 1 0.000550505314181502 1.12169029176095e-05 -0.0108059607329444 5.65649791090305e-21 0.620347380629942 0 -0.510325986039054 0.0482430933922335 0.508190331175754 0 0 -0.0112181430131968 0.509314670719488 0.0375752466515343 -0.0105088502185589 0.00602652331742261 0.00940347629839057 0 -0.0208669975811679 -0.0108968680077001 0.0257589904227471 0.00162476845489858 -0.00074309515980322 0 0 0.0219913365368511 -0.00811912034973231 0 0.0278378855688383 0 -0.0300146151046109 -0.0115449570511834 0 -0.0113458650907381 0 -0.0409014289642049 0.000762916532209881 0.0468314245197608 0 0 0 0 0 0 0 -0.012166959917743 0.025218619950355 0 0
"19" 0 0 -0.00113138948382755 0 0 -0.00690830302579895 0.00727597650321433 0 0 0 0 0 -0.0116159000425587 0 0 0 0 0.000550505314181502 1 0.00225369816872983 0 -7.32314468529866e-22 0 0 -0.014586686846757 0.0104270758905955 -0.0161942883102035 0 0 -0.02166941674448 -0.0188815967591454 -0.00162227833473449 0 0.000866681419068974 -0.00808377032226895 0 -0.00277491384760424 -0.0140243562591149 -0.00734196691584678 0.0371723297952476 -0.0136617557677153 0 0 -0.014831131473072 0.51226536645756 0 0.0510190804802772 0.00398937827352793 -0.0190424537092579 0 -0.028197037046272 0 0 -0.00413284184899561 -0.00612092375468547 0 0 0 0.011477400467503 0 0 0 0 -0.00324538209229227 -0.00219069145062299 0 0
"20" 0 -8.79374327106235e-21 0 0 0 -0.00188072307825276 0.000652101209904728 0 0 0 0 0 0 0 -8.87330657326974e-22 0 0 1.12169029176095e-05 0.00225369816872983 1 0 0 0 0 -0.0464280844256569 0.427463462752714 0.396712935266852 0 0 -0.00515642216996732 0.0472112777148125 0.0502923816211946 0 0.00228821133121304 0.00357995747165426 0 -0.0328218009193202 0 0 -0.00138981118694578 0 0 0 0.00179696454671548 -0.00335738731826638 0 0.012517576981198 0 -0.027094902447932 0 0.0517016775093106 0 0 -0.0382097664040712 0.0110192345829959 0 0 0 0 0.00551929296566883 -0.0173072269336635 0 0 0 0.0458562819648612 0 0
