"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"11" 2.67230375513326e-24 3.11108847967157e-24 3.77725801403423e-24 0 -1.99943968873222e-10 0.207750362848954 0 -4.38318389140346e-07 0 0 1 0 0 0 0 0 2.54692340855777e-06 -5.38636482757718e-05 -4.20112186033615e-05 0 0.000177415873126857 0 2.45755913708904e-24 -1.47119987762713e-07 0 -2.12399026845174e-07 0 0 0 0 0 1.47807982110494e-06 1.28287930348577e-06 0 3.16777329497287e-06 1.38180466646787e-05 0 0 0 0 0 0 -4.22196390853719e-05 0 0 0 -2.14577496584239e-06 0 0 -2.73908243890912e-06 0 3.60275428212574e-06 0 9.77209772054145e-06 1.62023075404111e-05 0 0 0.0459061591042911 0.0823257112126341 -4.9787721359661e-07 0.131818100508633 0 0 -1.6726343037911e-06 -2.2975511505267e-07 0 0 -2.34015420095695e-07 0.0379593776056009 0.100532507074344 0 0 0 2.34275539086752e-05 0 4.52864147659897e-06 0 0 0 9.51039710020778e-06 0 -1.71979694008147e-05 0 2.44996033703327e-06 0 0 -1.04502961431396e-05 0 0 0 5.14264320539407e-06 0 1.03672894432045e-05 -1.03072133687515e-05 1.31760515011278e-05 -2.24453956919289e-06 -9.08539340286608e-06 3.63278638997472e-06 -6.1170547361938e-06 -4.83992345230523e-06
"12" 3.3071565679156e-24 2.59652464676181e-25 -1.69351659996348e-24 0 0 1.86511686108319e-07 5.45141474699679e-25 0 9.24405249862814e-25 0 0 1 0 0 0 2.8880773160277e-05 0 0 0 -0.000891161544078642 0 0 0 1.18896216034585e-06 3.60281643780628e-06 0 5.10031800054035e-07 0 0 -9.06977596125113e-06 -2.0469604757057e-05 0 0 2.052354689901e-05 0 0 0 -6.22623577054637e-05 -5.00651546272068e-05 0 0.00146168183902124 0 0 0 1.72409670546416e-05 0 0 0 1.67899057042797e-05 0.144036076056198 0 0.171696490333431 1.42818844834732e-05 0 -0.00013093343056064 0 0.281602244473082 0.28019148240532 0 0.0601333065349728 0 0.0102708248205479 0.0222517598672307 0 0 0 0 0 0 0 0 0 0 -0.000189322621361876 0.0944200178850134 0 0.174462847581068 0 0 0 4.524245642267e-05 0 -6.75341509047232e-05 0.10793725457168 0 8.11873932389523e-07 0 0 0 0 0 0 -8.37823508336148e-05 0 0.140827558421948 0 0 0.00247696697553745 0 0
"13" 2.32994337559297e-24 1.28376915983024e-24 3.52480547021605e-25 0 6.60302244453414e-10 6.47143330014043e-08 0 0 1.38482971806638e-24 0 0 0 1 7.01133991739382e-06 5.47297149347185e-06 1.002457133811e-05 0 0 0 0 -0.000497660643571095 0 0 0 1.25061139354914e-06 0 0 0 1.02678763954818e-05 -3.14824414371695e-06 -7.10568643609428e-06 0 0 7.12401164303372e-06 0 0 1.86391932303267e-05 -2.16120436674355e-05 -1.7378413359034e-05 -0.000332521549604222 0.000507361829071208 0.000238505059849118 0 0 5.98574723528224e-06 0 0 3.01249004136663e-06 5.82731269354103e-06 7.68345067608479e-06 9.2590431405283e-06 0 0.0121641901382525 0 -4.54479202708959e-05 0.0810753561130776 0.131218658871351 -7.55465732931207e-06 0 1.39670021872948e-06 4.52286100427035e-06 0.0745934472513699 1.52859972783611e-05 0 0 -1.18821545432069e-05 0.194527085486911 0 0 0.015627982522612 0 0 0 -6.57150800995215e-05 -6.88843510737158e-06 0 2.37540729323354e-05 0 0.0033271131918041 0 1.57035847597599e-05 0 0 -6.874631351374e-06 -4.76843840416836e-06 2.82003077814715e-07 0 5.75645311294337e-05 0 0 -1.44241114886466e-05 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 7.01133991739382e-06 1 0 0 0 0 0 0 -0.00237641576743701 0 0 1.97080618497123e-06 0 0 0 0 4.90321095302045e-05 0 0 0 0 0 0 0 8.90064343186088e-05 -0.000103200071146495 0 -0.00158784802244623 0 0 0 0 0 0 0 1.43863858573035e-05 0 0 4.42099169522599e-05 0 0 0 0.118258576756108 0 -1.21942052831136e-05 0 0 6.66822579429596e-06 2.15997069419078e-05 0 0 0 0 0 0 0 0 0.0146215354140586 0 0 0 -0.000313805542950758 0 0 0 0 0.233459102287531 0 7.4987739620607e-05 0 0 0.0687629612410827 0 0 0 0.0194426515251699 0 0 -6.88803045690867e-05 0 0 0 0 0 0 0 0 0
"15" 0 0 -3.41907836021623e-24 -7.12313111502361e-08 2.4623347190654e-09 2.4130249888077e-07 0 4.58306499473201e-06 0 0 0 0 5.47297149347185e-06 0 1 0 0.0233622398026658 0.000563196504438097 0.000439270747249218 0 -0.00185506039353447 0 0 0 0 0 6.60547602674389e-07 0 3.82745969611956e-05 -1.17361302349295e-05 0 -1.545798976186e-05 -1.34178772776637e-05 2.65553842053518e-05 -3.31181946212289e-05 -0.000144485844478539 6.94797646618028e-05 0 0 0 0.00189122190301381 0 0.000441448984159449 0 0 0 2.24342872607873e-05 0.0538179738784864 0.0644002063791886 0 0 -3.76655012787584e-05 0 -0.000102181397806005 -0.000169411680563367 0 0 -2.81604097759291e-05 0 5.20530840368319e-06 1.68606332366772e-05 0 0 0 0 0 0 2.4266050150678e-06 -5.13278212796953e-06 1.20253798321636e-05 0 0 0 0.138458923310516 0 0 0.0343547661498991 0 0.0907695897399282 0 0 0 -8.7382219814216e-05 -2.56276525982563e-05 0 0.268872202362728 0 0.0238821374230274 0 0 -5.37687767324487e-05 0 -0.000108403460794196 0.103381778805032 -0.000137769150632492 0 9.50003110930184e-05 0.151554365036699 0 0
"16" 3.23520313682937e-24 0 0 0 0 4.41950699037106e-07 0 0 -2.70400091820729e-24 0 0 2.8880773160277e-05 1.002457133811e-05 0 0 1 0 0 0.000804579014728703 0 0 0 0 0 8.53832567512513e-06 0 0 0 0 -2.14944440562484e-05 -4.85140670307444e-05 0 0 4.86396021124032e-05 0 0 0 0 0 0 0 0 0 0 0.049132142667066 0 0 0 0.0639814265018122 0 6.32112192929475e-05 0 0.151827134154266 0 -0.000310298309772096 0 -1.74364319049354e-05 -5.15792415428061e-05 0 9.53412796323796e-06 0 0.099444905087156 0.000104366376833851 0 0 0 0 0 0 0 0 4.35877111789043e-06 0 0.178265056259883 0.0274718256560962 0 0 0 0 0 0.000107216478787247 0 -0.00016005135211463 0 0.0317456116689076 0.257501829160394 0 0 0 0 0 0.0390307687482806 0.142574378182818 0.137506001839489 -0.000252341049066189 0.00147707176589294 0.000174004629303241 0.067795089828584 0.000117149383201958 0.0443066881299084
"17" 0 0 0 0 -3.21455911554037e-09 -3.14998399828563e-07 0 -5.98172354581687e-06 0 0 2.54692340855777e-06 0 0 0 0.0233622398026658 0 1 -0.000735070759537175 -0.000573326306723415 0 0.00242118141104223 0 0 0 0 0 0 -4.74630538935421e-05 0 0 0 2.01752240883316e-05 1.75117701925827e-05 0 0 0.000188580033913334 0 0 0 0 0 0 -0.00057616884203467 0 0 0 -2.9280973782516e-05 0 0 0 0 0 0 0.000133364473175165 0 0 0 0 -7.05447507064873e-06 0 0 0 0 0.174815821872397 0 5.78086865095855e-05 0 0.218637206621149 0.17839740336211 0 0 0 0 0.00031971407367483 0 6.18030330491512e-05 0 0 0 0.0720563932697738 0 0.0626059264623955 0 0 0 0 -0.000142615593176674 0 0 0 7.01763274515746e-05 0 0.00743560171176087 0.226443976137381 0 0 0 0 0.0350562029199937 -6.60486835068657e-05
"18" 0 0 0 -1.96721075169342e-06 6.79694292710501e-08 0 0 0.000126521884890192 0 0 -5.38636482757718e-05 0 0 0 0.000563196504438097 0 -0.000735070759537175 1 0.787887076114397 0 0.57883373509903 0 0 0 0 6.13075483818825e-05 0 0.00100391925548524 0 0 0 -0.00042673111626043 -0.000370412968874987 0 -0.000914278421350392 -0.0796742937036813 0 0 -0.0268254426335462 0 0 0 0.783975899638237 0 0 0 0.000619331598983457 0 0 0 0 -0.00103979516263788 0 -0.00282082221710832 -0.0175716835332084 0 0 -0.000777396309458025 0.000149212114152114 0.000143696040189567 0.000465451594289803 0 0 0.000482984782410244 0 0 0 6.69910232291842e-05 -0.000141694054673428 0.000331962218199444 0 6.56966100889881e-05 0 -0.0245787278457921 0 -0.00130721496743856 0 0 -0.00126346362858289 -0.0215345932548608 0 -0.032299536700508 0 0 0 0 -0.0710662900799487 0 0 0 -0.00148434766417384 0 -0.0778191677927143 0.0029751211246697 0 -0.00117399540206049 0.00262259487820293 -0.00104852265934114 0.00176567498141829 0.00139703575844377
"19" 4.19323028165985e-24 -6.12051050704673e-23 -1.26781336837533e-22 0 5.3012705999037e-08 5.19525769963519e-06 0 9.8682110204911e-05 0 0 -4.20112186033615e-05 0 0 0 0.000439270747249218 0.000804579014728703 -0.000573326306723415 0.787887076114397 1 0 0.566089506636585 0 0 0 0 0 1.42164532114598e-05 0 0 -0.000252671554073226 0 -0.000332833546164619 -0.000288905305979892 0 -0.000713101143685275 0 0 0 0 0 0 0 0.769390033697706 0 0 0 0.000483054121754269 0 -0.0245536263353517 0 0 0 0 -0.0027256584087604 -0.0258293268427542 0 0 -0.000606338865061325 0.000116379562010436 -0.00151135104668235 0.000363032547841553 0 0 0 0 0 0 5.22546415800271e-05 -0.000110515474915816 0 0 0 0 -0.0334011035093534 0 -0.00101957591507901 0 -0.0206260533076169 -0.000985451765640449 -0.0569517075548472 0 -0.0650050865259474 -0.00983478756337415 0 0 0 0 0 0 0 -0.00115772865165902 0 -0.0850079969111828 0.00232047754928549 -0.079877503166967 -0.0233090977084162 -0.00163509837803331 -0.000817805839225775 -0.00144441682552824 0.00108963214830618
"20" 0 0 3.38919037673125e-22 0 0 0 1.27689424787187e-22 0 1.60090289175814e-22 0 0 -0.000891161544078642 0 0 0 0 0 0 0 1 0 0 0 -8.69505233195287e-05 -0.000263468903856956 0 -3.73165339643926e-05 -0.00205534195058716 -0.00216324925799632 0.000663239869869154 0.00149700084602018 0 0 0 0 0 0 -0.0595354712613292 -0.0233015345120086 0 0.519879511138903 0 0 0 -0.0147683900464335 0 0 0 0 -0.00161873303882632 0 0 -0.00104439751449942 0 -0.0757437559428405 -0.000801906091158695 0.000538014068178288 0 0 -0.00616790044204382 0 -0.00147002092055761 -0.00322047405461508 0 0 0 0 0 0 0 0 0 0 -0.0899321287088726 0.00145087486394303 0 -0.00500442827749399 0 0 0 -0.00330839973414709 0 -0.0206745241080802 0.00144843655493609 0 -5.92453556286347e-05 0 0.00388145431884405 0 0 0 0 0 0 0 0 0 0 0 0
